CaseId;Kommun;Myndighetstyp;Myndighet;Diarienummer;Dokumenttyp;Dokumentdatum;KallaFil;KravId;KravkallaTyp;Kravkategori;Kravsubkategori;KravtextCitat;TolkadKravtext;Kravniva;RattsligHanvisning;Tidsfrist;Kontrollfrekvens;SanktionEllerKonsekvens;UtlosandeVillkor;Avfallsslag;EWC;MaxMangdTon;MaxLagringstid;KopplingKonstruktion;KopplingLakvatten;KopplingKontrollprogram;KopplingRisk;Mallavsnitt;KommunBlankettFalt;BilagaSomStods;MinimikravJaNej;KommunspecifiktJaNej;StatusIAnmalan;Kommentar
EXEMPEL-001;[Kommun];Kommun;[Miljokontor];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-001;Beslutsvillkor;Ytkonstruktion;Tat yta;[Citat ur beslut];Plattan ska vara tat och motsta fordonstrafik;SKA;[angiven i beslut];[ingen];Manadskontroll;Forelaggande vid brist;Vid mellanlagring av avfall;Blandat avfall;[EWC];[ton];[tid];Ja;Nej;Nej;Nej;5;Teknisk beskrivning av platta;Teknisk ritning platta;Nej;Nej;Ej behandlad;
EXEMPEL-001;[Kommun];Kommun;[Miljokontor];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-002;Forsiktighetsmatt;DagvattenLakvatten;Uppsamling;[Citat ur beslut];Lakvatten ska samlas upp och ledas till godkand hantering;SKA;[angiven i beslut];[ingen];Per driftperiod och nederbordshandelse;Forbud/atgardskrav vid utslapp;Vid nederbord och avrinning;[Avfallsslag];[EWC];[ton];[tid];Nej;Ja;Ja;Nej;6;Lakvattenhantering;Flodesschema dagvatten-lakvatten;Nej;Nej;Ej behandlad;
EXEMPEL-001;[Kommun];Kommun;[Miljokontor];[Dnr];Komplettering;[YYYY-MM-DD];[filnamn.pdf];KRAV-003;Kompletteringskrav;DriftEgenkontroll;Journalforing;[Citat ur komplettering];Mangder och lagringstid ska journalforas lopande;SKA;[angiven i komplettering];[datum i brev];Lopande;Risk for forlangd handlaggning;Lopande drift;[Avfallsslag];[EWC];[ton];[tid];Nej;Nej;Ja;Nej;7;Egenkontrollrutiner;Egenkontrollprogram;Nej;Nej;Ej behandlad;
EXEMPEL-001;[Kommun];Kommun;[Miljokontor];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-004;Beslutsvillkor;Riskhantering;Brand;[Citat ur beslut];Brandrisk ska forebyggas med separata lagringszoner;SKA;[angiven i beslut];[ingen];Veckovis kontroll av lagringszoner;Forelaggande vid brist;Vid lagring av brannbart avfall;[Avfallsslag];[EWC];[ton];[tid];Nej;Nej;Ja;Ja;8;Riskhantering;Risk-PM;Nej;Nej;Ej behandlad;
EXEMPEL-001;[Kommun];Kommun;[Miljokontor];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-005;Beslutsvillkor;LagringsvolymTid;Maxmangd;[Citat ur beslut];Max samtidig lagrad mangd ar begransad;SKA;[angiven i beslut];[ingen];Lopande journalforing;Fortsatt drift kan begransas;Alltid;[Avfallsslag];[EWC];[ton];[tid];Nej;Nej;Nej;Nej;4;Avfallsmangder och lagringstid;Avfallsforteckning;Nej;Nej;Ej behandlad;
EXEMPEL-001;[Kommun];Kommun;[Miljokontor];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-006;Beslutsvillkor;AvvecklingEfterbehandling;Atgardsplan;[Citat ur beslut];Ytan ska rengoras och kontrolleras vid avveckling;BOR;[angiven i beslut];Vid avslut;Slutbesiktning;Atgardskrav innan avslut godkanns;Vid avslut av verksamhet;[Avfallsslag];[EWC];[ton];[tid];Ja;Ja;Ja;Ja;11;Avveckling och efterbehandling;Avvecklingsplan;Nej;Nej;Ej behandlad;
EXEMPEL-002;[Kommun];Lansstyrelse;[Lansstyrelse];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-007;Beslutsvillkor;LokaliseringPlats;Skyddsobjekt;[Citat ur beslut];Avstand till skyddsobjekt ska redovisas pa karta;SKA;[angiven i beslut];Fore beslut;Engangskontroll fore inlamning;Kompletteringskrav om underlag saknas;Fore beslut;[Avfallsslag];[EWC];[ton];[tid];Nej;Nej;Nej;Nej;3;Platsforutsattningar;Situationsplan;Nej;Nej;Ej behandlad;
EXEMPEL-002;[Kommun];Lansstyrelse;[Lansstyrelse];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-008;Forsiktighetsmatt;TransportLogistik;Transportvagar;[Citat ur beslut];Transporter ska ledas via angiven in- och utfart;BOR;[angiven i beslut];[ingen];Driftuppfoljning kvartalsvis;Atgardskrav vid upprepad avvikelse;Vid trafikintensiv drift;[Avfallsslag];[EWC];[ton];[tid];Nej;Nej;Nej;Ja;9;Transporter och logistik;Trafikplan;Nej;Nej;Ej behandlad;
EXEMPEL-002;[Kommun];Lansstyrelse;[Lansstyrelse];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-009;Informationskrav;BilagorDokumentation;Provtagningsprogram;[Citat ur beslut];Provtagningsprogram ska bifogas anmalan;SKA;[angiven i beslut];Fore igangsattning;Enligt program;Igangsattning far inte ske utan underlag;Fore igangsattning;[Avfallsslag];[EWC];[ton];[tid];Nej;Ja;Ja;Nej;12;Bilagor;Provtagningsprogram;Nej;Nej;Ej behandlad;
EXEMPEL-002;[Kommun];Lansstyrelse;[Lansstyrelse];[Dnr];Beslut;[YYYY-MM-DD];[filnamn.pdf];KRAV-010;Forsiktighetsmatt;MiljopaverkanForsiktighet;Skyddsatgarder;[Citat ur beslut];Forsiktighetsmatt ska beskrivas for mark och vatten;SKA;[angiven i beslut];[ingen];Uppfoljning enligt kontrollprogram;Forelaggande vid brist;Alltid;[Avfallsslag];[EWC];[ton];[tid];Ja;Ja;Ja;Ja;10;Miljopaverkan och forsiktighetsmatt;Miljo-PM;Nej;Nej;Ej behandlad;
