uri,title,description,keywords,themes,distributions,reasons
"http://data.naturvardsverket.se/resources/8853721d-a466-4c01-afcc-9eae57b17b39","Nationella marktäckedata: basskikt","Nationella marktäckedata (NMD) är en heltäckande kartering av Sverige. Syftet är att få grundläggande information om landskapet och hur det förändras. Den första karteringen genomfördes 2017- februari 2019 och benämns NMD2018, den senaste versionen är NMD2023 och planen är att data ska uppdateras vart 5:e år. 
 
NMD består av en baskartering i med ett antal tematiska klasser i hierarkiska nivåer. Karteringen är i rasterformat med 10 meters upplösning och med en minsta karteringsenhet ned till 0,01 hektar. Utöver baskarteringen ingår följande tilläggsskikt: 

- objekthöjd och -täckning 
- produktivitet (skoglig produktivitet)
- markanvändning
- låg fjällskog (endast för NMD2018, därefter inkluderat i basskiktet)
- trädslag
- jordbearbetning

För tilläggskikten finns separata metadatabeskrivningar och nedladdningstjänster. För samtliga dataset finns produktbeskrivningar tillgängligt.","Inspire; Värdefulla datamängder","http://publications.europa.eu/resource/authority/data-theme/ENVI","urn:uuid:065e8c28-34a9-e3f3-fe4e-69d2a4bd629d; urn:uuid:390d9a88-1c92-8375-d3f4-be1ddd62477a; urn:uuid:8befaa75-eb6d-f8d5-fe27-88af1f2d026f; urn:uuid:56d9cce8-1b74-dcda-1df5-5c1008395fb4; urn:uuid:f77f37ca-c315-0def-e8b7-39f439795f2c; urn:uuid:6e028915-1809-55c0-fc7a-a4f488bccbe0; urn:uuid:7beacb72-a865-e448-c322-34c40504cf17; urn:uuid:2229f3a8-0e00-3c36-2f1f-a21aaaa9807e; urn:uuid:44177797-eb63-1552-9e9a-6cb95f176d25; urn:uuid:1b532ae9-a92a-edd6-e06a-14aa11ffb81d; urn:uuid:2931c6f5-7fa5-b11c-1104-9b33c442c120; urn:uuid:7bf4917f-deb1-199a-93e0-2e1635f421f6","Tema: ENVI"
"https://opendata-catalog.smhi.se/md/0757b95c-829b-43da-8864-6cee947c93ce","SE.ACMF Meteorologiska observationer - Lufttemperatur, maxvärde 2ggr dygn","Syfte: Beskriver aktuellt väder och med tiden klimatet.

Enhet: °C

Egenskaper: Maxvärde av lufttemperatur gällande 12 timmar, lagrat 06 UTC och 18 UTC. De flesta stationer mäter värden 2 gånger per dygn (06 UTC och 18 UTC) som då gäller 12 timmar. Kvalitetskoden blir i så fall gul. Mäts endast dygnsvärden blir kvalitetskoden grön.

Nätinformation: 
- SMHIs stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta av stationerna övervakas, inspekteras och underhålls löpande av SMHI.
- Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.

Kvalitetskoder: Gult = Aggregerade värden 

Gränser: -60 till +40 °C

För mer info se: https://www.smhi.se/data/meteorologi/temperatur","Öppna data; Meteorologi; Observation; Lufttemperatur; HVD","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-view.smhi.se/met-obs/ACMF.temperatur_12h_max_view/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/metobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-vaderobservationer/airTemperatureMinAndMaxTwiceEveryDay; https://opendata-download-metobs.smhi.se/api/version/latest/parameter/27.json","Tema: ENVI; Matchar miljönyckelord"
"https://opendata-catalog.smhi.se/md/2205ecf4-647b-4ca0-b7b4-50e3199932b9","SE.OF Oceanografiska observationer - Havsvattenstånd RH2000, timvärde","Syfte: Analysera trender, landhöjning och havsnivåhöjning.

Enhet: cm

Egenskaper: Havsvattenståndet i höjdsystemet RH2000 (Sveriges nya nationella höjdsystem). Ett momentant mätvärde per timme. Stationer som mäter kan hittas på https://www.smhi.se/kunskapsbanken/oceanografi/matningar-i-havet/stationslista-vattenstand.

Kvalitetskoder: Grön (G) = Kontrollerade och godkända värden. Gul (Y) = Grovt kontrollerade värden, misstänkta eller aggregerade värden. Orange (O) = Okontrollerade värden

Gränser: Både >0 och <0.

För mer info se: https://www.smhi.se/data/oceanografi/havsvattenstand","Öppna data; Inspire; Observation; Oceanografi; Havsvattenstånd","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-download-ocobs.smhi.se/api/inspire/ocobs-6.atom; https://opendata-view.smhi.se/oc-obs-seawaterlevelhourvalues/OF.PointObservation/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/ocobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-observationer-fran-havet/sealevelrh2000; https://opendata-download-ocobs.smhi.se/api/version/latest/parameter/6.json","Tema: ENVI; Matchar miljönyckelord"
"https://opendata-catalog.smhi.se/md/25076d38-25e6-4ad6-9cb9-878708728f93","SE.OF Oceanografiska observationer - Strömriktning","Syfte: Observera strömmar i havet och förbättra havscirkulationsmodeller. Assimilera och validera modeller som används inom SMHI:s verksamhet t.ex. havscirkulationsmodellen NEMO-Nordic.

Enhet: Grader

Egenskaper: Mått på vattnets riktning från havsbojar. En gång per timme. Vissa stationer levererar data från flera nivåer under havsytan. Noll grader avser att vattnet strömmar mot norr, 90 grader mot öst o s v. Mätdjupet 0 meter representerar ytström.

Kvalitetskoder: Grön (G) = Kontrollerade och godkända värden. Gul (Y) = Grovt kontrollerade värden, misstänkta eller aggregerade värden. Orange (O) = Okontrollerade värden

Gränser: 0-360 grader

För mer info se: https://www.smhi.se/publikationer-fran-smhi/sok-publikationer/2011-09-12-strommar-i-svenska-hav","Strömriktning; Öppna data; Inspire; Observation; Oceanografi","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-download-ocobs.smhi.se/api/inspire/ocobs-2.atom; https://opendata-view.smhi.se/oc-obs-currentdirection/OF.PointObservation/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/ocobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-observationer-fran-havet/current; https://opendata-download-ocobs.smhi.se/api/version/latest/parameter/2.json","Tema: ENVI"
"https://opendata-catalog.smhi.se/md/2b84284b-4e01-48ee-8f40-5792c42579f2","SE.ACMF Meteorologiska observationer - Lufttemperatur, maxvärde 1 dygn","Syfte: Beskriver aktuellt väder och med tiden klimatet

Enhet: °C

Egenskaper: Maxvärde av lufttemperatur gällande 24 timmar, lagrat 18 UTC. De flesta stationer mäter värden 2 gånger per dygn (06 UTC och 18 UTC) som då gäller 12 timmar och av dessa väljs det högsta värdet för att få fram dygnsvärden. Kvalitetskoden blir i så fall gul. Mäts endast dygnsvärden blir kvalitetskoden grön.

Nätinformation: 
- SMHIs stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta av stationerna övervakas, inspekteras och underhålls löpande av SMHI.
- Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
Kvalitetskoder: Gult = Aggregerade värden 

Gränser: -60 till +40 °C

För mer info se: https://www.smhi.se/data/meteorologi/temperatur","Öppna data; Inspire; Meteorologi; Observation; Lufttemperatur; HVD","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-download-metobs.smhi.se/api/version/latest/parameter/20.json; https://opendata-view.smhi.se/met-obs/ACMF.temperatur_dygn_max_view/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/metobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-vaderobservationer/airTemperatureMinAndMaxOnceEveryDay","Tema: ENVI; Matchar miljönyckelord"
"https://opendata-catalog.smhi.se/md/2c789229-7fb2-485b-ad6e-505e4081d667","SE.ACMF Meteorologiska observationer - Lufttryck vid havsytan, timvärde","Syfte: Beskriver aktuellt väder och med tiden klimatet. Underlag för prognoser och klimatstudier.

Enhet: Pascal 

Egenskaper: Stationerna mäter lufttryck. Eftersom trycket bland annat beror på höjden över havet, räknas det om till ett värde som representerar trycket vid havsytans nivå, för att värdena från olika stationer ska kunna jämföras. 

Nätinformation: 
- SMHIs stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta av stationerna övervakas, inspekteras och underhålls löpande av SMHI.
- Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.

Kvalitetskoder: Grönt = Kontrollerade och godkända värden. Gult = Misstänkta värden, aggregerade värden, grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim). 

Gränser: 80000 till 107000 pascal 

För mer info se: https://www.smhi.se/data/meteorologi/lufttryck","Öppna data; Meteorologi; Observation; Lufttryck; HVD","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-view.smhi.se/met-obs/ACMF.lufttryck_momentan_view/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/metobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-vaderobservationer/airPressure; https://opendata-download-metobs.smhi.se/api/version/latest/parameter/9.json","Tema: ENVI; Matchar miljönyckelord"
"https://opendata-catalog.smhi.se/md/2cb9200d-57a3-4068-8157-5706fd0c587b","SE.ACMF Meteorologiska observationer - Solskenstid timvärde","Syfte: Beskriver aktuellt väder och klimatet. Information till media, turistbranschen och allmänheten. Validering av modellberäkningar.

Enhet: Sekunder 

Egenskaper: Uppmätt solskenstid på automatiska strålningsstationer. Ackumulerat värde under 1 timme.

Nätinformation: 
- SMHIs stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta av stationerna övervakas, inspekteras och underhålls löpande av SMHI.
- Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.

Kvalitetskoder: Grönt = Kontrollerade och godkända värden. Gult = Misstänkta värden, aggregerade värden, grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim). 

Gränser: 0 till 3600 sekunder 

För mer info se: https://www.smhi.se/kunskapsbanken/meteorologi/stralning","Öppna data; Meteorologi; Observation; Solskenstid; HVD","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-view.smhi.se/met-obs/ACMF.solskenstid_summa_view/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/metobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-vaderobservationer/sunshineTime; https://opendata-download-metobs.smhi.se/api/version/latest/parameter/10.json","Tema: ENVI; Matchar miljönyckelord"
"https://opendata-catalog.smhi.se/md/2cdaac6d-e9eb-4857-a44f-b07521a18afd","SE.ACMF Meteorologiska observationer - Nederbörd timvärde","Syfte: Beskriver aktuellt väder och med tiden klimatet. Underlag för klimatstudier och prognosverifikation.

Enhet: mm 

Egenskaper: Nederbörd uppmätt vid automatiska mätstationer, ackumulerat värde under en timme. Nederbörden mäts i smält form.

Nätinformation: 
- SMHIs stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta av stationerna övervakas, inspekteras och underhålls löpande av SMHI.
- Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.

Kvalitetskoder: Grönt = Kontrollerade och godkända värden. Gult = Misstänkta värden, aggregerade värden, grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim). 

Gränser: >=0 

För mer info se: https://www.smhi.se/data/meteorologi/nederbord","Öppna data; Inspire; Meteorologi; Observation; Nederbördsmängd; HVD","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-view.smhi.se/met-obs/ACMF.nederbord_momentan_view/wms?service=wms&request=getcapabilities; https://opendata-download-metobs.smhi.se/api/inspire/metobs-7.atom; https://opendata.smhi.se/metobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-vaderobservationer/precipitationHourlySum; https://opendata-download-metobs.smhi.se/api/version/latest/parameter/7.json","Tema: ENVI; Matchar miljönyckelord"
"https://opendata-catalog.smhi.se/md/2fb207f0-8a1e-11ea-a966-bfa48b38ccc2","SE.OF Oceanografiska observationer - Vågperiod, peakvärde","Syfte: Observera havsvågornas period och förbättra vågmodeller. Assimilering och validering av modeller. 

Enhet: Sekunder med 2 decimaler.

Egenskaper: Vågperioden definieras som tidsintervallet mellan två på varandra följande vågtoppar. Peak period (VTPK) är perioden där vågornas energi är som störst under 30 minuter. Mätningen görs från bojar nära kusten och till havs och ger 1 värde per timme.

Kvalitetskoder: Grön (G) = Kontrollerade och godkända värden. Gul (Y) = Grovt kontrollerade värden, misstänkta eller aggregerade värden. Orange (O) = Okontrollerade värden

Gränser: >0

För mer info se:
https://www.smhi.se/kunskapsbanken/oceanografi/matningar-i-havet/matning-och-berakning-av-vagor
https://www.smhi.se/publikationer-fran-smhi/sok-publikationer/2010-07-05-vagor-i-svenska-hav","Öppna data; Observation; Oceanografi; Vågperiod","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-view.smhi.se/oc-obs/OF.PointObservation.WavePeriodPeak/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/ocobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-observationer-fran-havet/waves; https://opendata-download-ocobs.smhi.se/api/version/latest/parameter/9.json","Tema: ENVI"
"https://opendata-catalog.smhi.se/md/37f42bb3-86ca-4420-a71d-41a2d4ea7457","SE.OF Oceanografiska observationer - Vågriktning, medelvärde","Syfte: Observera havsvågornas riktning och förbättra vågmodeller. Assimilering och validering av modeller.

Enhet: Grader med 1 decimal.

Egenskaper: Vågriktningen definieras som den riktning varifrån vågorna kommer. Mätningen görs från bojar nära kusten och till havs. Medelvågriktning (VDIR) är medelvärdet av vågornas riktning under 30 minuter.
Vågriktning vid Tp (VPED) är riktningen hos vågorna där energin är som störst under 30 minuter. Ett värde per timme erhålls.

Kvalitetskoder: Grön (G) = Kontrollerade och godkända värden. Gul (Y) = Grovt kontrollerade värden, misstänkta eller aggregerade värden. Orange (O) = Okontrollerade värden

Gränser: 0-360 grader

För mer info se:
https://www.smhi.se/kunskapsbanken/oceanografi/matningar-i-havet/matning-och-berakning-av-vagor
https://www.smhi.se/publikationer-fran-smhi/sok-publikationer/2010-07-05-vagor-i-svenska-hav","Öppna data; Inspire; Observation; Oceanografi; Vågriktning","http://publications.europa.eu/resource/authority/data-theme/ENVI","https://opendata-download-ocobs.smhi.se/api/inspire/ocobs-7.atom; https://opendata-view.smhi.se/oc-obs-wavedirectionmean/OF.PointObservation/wms?service=wms&request=getcapabilities; https://opendata.smhi.se/ocobs/api; https://www.smhi.se/data/hitta-data-for-en-plats/ladda-ner-observationer-fran-havet/waves; https://opendata-download-ocobs.smhi.se/api/version/latest/parameter/7.json","Tema: ENVI"
