kommun,kommun_webb,diarie_url,diarie_typ,notes,source_url
Ale,http://www.ale.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Alingsås,http://www.alingsas.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Alvesta,http://www.alvesta.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Aneby,http://www.aneby.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Arboga,http://www.arboga.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Arjeplog,http://www.arjeplog.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Arvidsjaur,http://www.arvidsjaur.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Arvika,http://www.arvika.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Askersund,http://www.askersund.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Avesta,http://www.avesta.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bengtsfors,http://www.bengtsfors.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Berg,http://www.berg.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bjurholm,http://www.bjurholm.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bjuv,http://www.bjuv.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Boden,http://www.boden.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bollebygd,http://www.bollebygd.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bollnäs,http://www.bollnas.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Borgholm,http://www.borgholm.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Borlänge,http://www.borlange.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Borås,http://www.boras.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Botkyrka,http://www.botkyrka.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Boxholm,http://www.boxholm.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bromölla,http://www.bromolla.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Bräcke,http://www.bracke.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Burlöv,http://www.burlov.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Båstad,http://www.bastad.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Dals-Ed,http://www.dalsed.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Danderyd,https://www.danderyd.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Degerfors,http://www.degerfors.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Dorotea,http://www.dorotea.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Eda,http://www.eda.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Ekerö,http://www.ekero.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Eksjö,http://www.eksjo.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Emmaboda,http://www.emmaboda.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Enköping,http://www.enkoping.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Eskilstuna,http://www.eskilstuna.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
Eslöv,http://www.eslov.se/,,,,https://skr.se/kommunerochregioner/kommunerlista.8288.html
